Date,Open,High,Low,Close
2022-09-26,18.869,19.0335,18.3325,18.3615
2022-09-27,18.378,18.7865,18.3225,18.3935
2022-09-28,18.4063,18.9755,17.9735,18.8995
2022-09-29,18.9035,18.9125,18.4995,18.8245
2022-09-30,18.825,19.2915,18.7805,19.0195
2022-10-03,19.016,20.7155,19.011,20.7095
2022-10-04,20.679,21.2385,20.6125,21.0665
2022-10-05,21.04,21.0725,19.9435,20.6495
2022-10-06,20.6465,20.8695,20.3615,20.6565
2022-10-07,20.655,20.8235,20.0025,20.0945
2022-10-10,20.168,20.1925,19.5175,19.6065
2022-10-11,19.6205,19.7225,19.0655,19.1585
2022-10-12,19.1625,19.3145,18.8675,19.0225
2022-10-13,19.0479,19.3095,18.4595,18.8865
2022-10-14,18.9,19.072,18.0915,18.2545
2022-10-17,18.258,18.9425,18.228,18.6715
2022-10-18,18.6724,18.9255,18.5485,18.7355
2022-10-19,18.7443,18.8105,18.3675,18.4555
2022-10-20,18.4542,19.0015,18.2315,18.6745
2022-10-21,18.6609,19.3055,18.2855,19.2815
2022-10-24,19.416,19.6755,19.0205,19.2225
2022-10-25,19.2315,19.4325,18.7905,19.3465
2022-10-26,19.3291,19.7785,19.2175,19.5895
2022-10-27,19.55,19.6705,19.2955,19.6045
2022-10-28,19.5975,19.6395,19.0045,19.2695
2022-10-31,19.2195,19.2565,18.9065,19.1505
2022-11-01,19.1495,20.0165,19.1455,19.6335
2022-11-02,19.6365,20.0715,19.2055,19.2075
2022-11-03,19.2065,19.5435,18.8355,19.4575
2022-11-04,19.4585,20.9065,19.4185,20.8615
2022-11-07,20.468,21.0085,20.3875,20.8035
2022-11-08,20.794,21.6245,20.4945,21.3555
2022-11-09,21.344,21.5955,20.9965,21.0705
2022-11-10,21.03,21.8235,20.9595,21.6835
2022-11-11,21.6585,22.0515,21.2785,21.6565
2022-11-14,21.676,22.0885,21.2975,21.9885
2022-11-15,21.9765,22.2475,21.3925,21.5645
2022-11-16,21.545,22.0425,21.3955,21.4705
2022-11-17,21.475,21.4895,20.7635,20.9555
2022-11-18,20.982,21.2915,20.8435,20.9035
2022-11-21,20.949,21.0135,20.5885,20.8485
2022-11-22,20.8491,21.3365,20.8365,21.0865
2022-11-23,21.0875,21.5895,20.9135,21.5345
2022-11-24,21.5385,21.6775,21.4615,21.5075
2022-11-25,21.482,21.5525,21.1615,21.4605
2022-11-28,21.386,21.6155,20.8715,20.9355
2022-11-29,20.941,21.4485,20.9025,21.2585
2022-11-30,21.2475,22.2025,21.2025,22.1925
2022-12-01,22.231,22.7825,22.0455,22.7495
2022-12-02,22.728,23.236,22.291,23.137
2022-12-05,23.096,23.519,22.168,22.251
2022-12-06,22.2415,22.607,22.045,22.198
2022-12-07,22.1831,22.815,22.096,22.725
2022-12-08,22.732,23.222,22.549,23.067
2022-12-09,23.098,23.686,22.965,23.421
2022-12-12,23.455,23.531,23.114,23.315
2022-12-13,23.3154,24.123,23.3,23.733
2022-12-14,23.724,24.04,23.401,23.937
2022-12-15,23.9274,23.941,22.977,23.092
2022-12-16,23.0827,23.251,22.559,23.205
2022-12-19,23.185,23.411,22.84,22.987
2022-12-20,22.976,24.253,22.885,24.148
2022-12-21,24.1465,24.302,23.83,23.97
2022-12-22,23.9705,24.087,23.382,23.573
2022-12-23,23.578,23.894,23.519,23.734
2022-12-27,23.9135,24.282,23.793,24.045
2022-12-28,24.0545,24.073,23.467,23.549
2022-12-29,23.5569,24.061,23.523,23.906
2022-12-30,23.901,24.145,23.529,23.935
